Name	Length	Accession	GI
Mycobacterium crocinum strain czh-3 65	417	DQ533996.1	108733401
Mycobacterium crocinum strain czh-1A 65	417	DQ533995.1	108733394
Mycobacterium chelonae ATCC 14472 GroEL	401	GU362518.1	307148009
Mycobacterium arabiense strain YIM 121001	403	KC010487.1	443910157
Mycobacterium sediminis strain YIM M13028	455	KC010486.1	443910155
Mycobacterium arosiense ATCC BAA-1401 strain	421	EU370531.1	169264470
Mycobacterium simiae hsp65 gene for	401	AB547407.1	342305170
Mycobacterium iranicum strain M05 heat	612	HQ009485.1	310877111
Mycobacterium bolletii strain RGTB285 65	427	HM454235.1	320171715
Mycobacterium massiliense strain RGTB451 65	441	HM454219.1	320171683
Mycobacterium massiliense strain RGTB604 65	441	HM454218.1	320171681
Mycobacterium massiliense strain RGTB225 65	441	HM454217.1	320171679
Mycobacterium massiliense strain RGTB193 65	441	HM454216.1	320171677
Mycobacterium moriokaense CIP 105393 65	441	AY859680.1	62240657
Mycobacterium aubagnense CIP 108543 65	441	AY859677.1	62240651
Mycobacterium kyorinense hsp65 gene for	424	AB370171.1	163838439
Mycobacterium chimaera strain DSM 44623	994	EU239783.1	171466766
Mycobacterium avium subsp. hominissuis strain	994	EU239782.1	171466764
Mycobacterium avium subsp. silvaticum strain	994	EU239781.1	171466762
Mycobacterium avium subsp. paratuberculosis strain	994	EU239780.1	171466760
Mycobacterium aquiterrae hsp65 gene for	444	LC126333.1	998623079
Mycobacterium paraintracellulare strain MOTT64 heat	603	KP670342.1	805308364
Mycobacterium paraintracellulare strain Asan 37128	603	KP670341.1	805308362
Mycobacterium paraintracellulare strain Asan 29591	603	KP670340.1	805308360
Mycobacterium massiliense strain CIP 108297	441	EU266578.1	161339311
Mycobacterium massiliense isolate 538 heat	401	EU220417.1	160337097
Mycobacterium aurum strain ATCC 23366	402	FJ172326.1	207692964
Mycobacterium riyadhense strain NLA000201958 65	423	EU921671.1	197295804
Mycobacterium vulneris strain NLA009601918 65	424	EU834056.1	194293708
Mycobacterium immunogenum strain CIP 106684	424	AY458081.1	42416860
Mycobacterium mucogenicum strain ATCC 49650T	424	AY458079.1	42416856
Mycobacterium houstonense strain ATCC 49403	424	AY458077.1	42416852
Mycobacterium neworleansense strain ATCC 49404	424	AY458076.1	42416850
Mycobacterium abscessus strain CIP 104536	424	AY458075.1	42416848
Mycobacterium chelonae strain CIP 104535	424	AY458074.1	42416846
Mycobacterium farcinogenes strain NCTC 10955	424	AY458073.1	42416844
Mycobacterium goodii strain ATCC 700504	424	AY458071.1	42416840
Mycobacterium peregrinum strain CIP 105382	424	AY458069.1	42416836
Mycobacterium porcinum strain CIP 105392	424	AY458068.1	42416834
Mycobacterium senegalense strain CIP 104941	424	AY458067.1	42416832
Mycobacterium smegmatis strain ATCC 19420	424	AY458065.1	42416828
Mycobacterium wolinskyi strain ATCC 700010	424	AY458064.1	42416826
Mycobacterium septicum strain ATCC 700731	603	AY373457.1	34495261
Mycobacterium avium strain ATCC 25291	603	AY299177.1	34333392
Mycobacterium phlei strain ATCC 11758	603	AY299158.1	34333354
Mycobacterium neoaurum strain ATCC 25795	603	AY299156.1	34333350
Mycobacterium fortuitum strain ATCC 6841	603	AY299152.1	34333342
Mycobacterium avium subsp. paratuberculosis strain	603	AY299137.1	34333312
Mycobacterium sherrisii 65 kDa heat	441	AY365190.1	34101305
Mycobacterium lacticola strain ATCC 9626	441	HM030495.1	296041316
Mycobacterium chimaera strain CIP107892 Hsp65	401	GQ153296.1	243010723
Mycobacterium nebraskense strain ATCC BAA-837	401	GQ153294.1	243010719
Mycobacterium malmoense strain ATCC 29571	401	GQ153293.1	243010717
Mycobacterium simiae strain ATCC 25275	401	GQ153292.1	243010715
Mycobacterium triplex strain ATCC 700071	401	GQ153291.1	243010713
Mycobacterium scrofulaceum strain ATCC 19981	401	GQ153288.1	243010707
Mycobacterium paraffinicum strain ATCC 12670	401	GQ153287.1	243010705
Mycobacterium ulcerans heat shock protein	1648	AF456475.1	24571125
Mycobacterium fortuitum strain ATCC 13756	605	DQ866789.1	115383154
Mycobacterium abscessus strain KC1 heat	550	DQ866788.1	115383152
Mycobacterium chelonae strain HU2 heat	550	DQ866785.1	115383146
Mycobacterium chelonae strain HU1 heat	550	DQ866784.1	115383144
Mycobacterium salmoniphilum strain TRA heat	608	DQ866783.1	115383142
Mycobacterium salmoniphilum strain SIL heat	550	DQ866782.1	115383140
Mycobacterium salmoniphilum strain MON heat	550	DQ866781.1	115383138
Mycobacterium salmoniphilum strain ELK heat	550	DQ866780.1	115383136
Mycobacterium salmoniphilum strain BAN heat	550	DQ866779.1	115383134
Mycobacterium salmoniphilum strain AUS heat	608	DQ866778.1	115383132
Mycobacterium abscessus subsp. bolletii strain	443	KU146534.1	1023529988
Mycobacterium sp. 24(2015b) 65 kDa	603	KT763329.1	949177615
Mycobacterium paraense strain IEC1883 65	644	KJ949040.1	698276687
Mycobacterium paraense strain IEC33 65	644	KJ949038.1	698276683
Mycobacterium sp. 05-1390 heat shock	603	JF738055.1	379773169
Mycobacterium paraense strain IEC30 65	644	HM056141.1	296936588
Mycobacterium paraense strain IEC29 65	644	HM056140.1	296936586
Mycobacterium paraense strain IEC27 65	644	HM056138.1	296936582
Mycobacterium paraense strain IEC26 65	644	HM056137.1	296936580
Mycobacterium paraense strain IEC25 65	644	HM056136.1	296936578
Mycobacterium paragordonae strain 49061 heat	603	KC525205.1	532165146
Mycobacterium chlorophenolicum strain ATCC 25793	402	FJ172327.1	207692966
Mycobacterium petroleophilum strain ATCC 21498	402	FJ172325.1	207692962
Mycobacterium fluoranthenivorans strain ATCC 23070	402	FJ172324.1	207692960
Mycobacterium neoaurum strain ATCC 27277	402	FJ172322.1	207692956
Mycobacterium neoaurum strain ATCC 23071	402	FJ172318.1	207692948
Mycobacterium neoaurum strain ATCC 25803	402	FJ172317.1	207692946
Mycobacterium neoaurum strain ATCC 25800	402	FJ172316.1	207692944
Mycobacterium neoaurum strain ATCC 25799	402	FJ172315.1	207692942
Mycobacterium neoaurum strain ATCC 25798	402	FJ172313.1	207692938
Mycobacterium europaeum strain FI-06004 65	401	HM022219.1	295815640
Mycobacterium parmense strain CIP 107385	401	HM022199.1	295815638
Mycobacterium abscessus subsp. bolletii hsp65	401	AB600182.1	342305180
Mycobacterium abscessus subsp. bolletii hsp65	401	AB548593.1	315433448
Mycobacterium yongonense 05-1390 heat shock	401	JN605801.1	378925658
Mycobacterium intracellulare ATCC 13950 heat	603	JF271810.1	341573761
Mycobacterium parascrofulaceum heat shock protein	603	JF271807.1	341573755
Mycobacterium arupense strain GN-3929 65	421	FJ263631.1	209972689
Mycobacterium massiliense strain INCQS 594	401	EU117205.1	157062988
Mycobacterium chelonae strain RGM69 heat	401	EU732723.1	190364887
Mycobacterium abscessus strain RGM38 heat	401	EU732720.1	190364881
Mycobacterium abscessus strain Asan28721 heat	401	EU732719.1	190364879
Mycobacterium abscessus strain RGM254 heat	401	EU732718.1	190364877
Mycobacterium bolletii strain CIP 108541	441	EU266576.1	161339307
Mycobacterium bolletii isolate 5581 heat	401	EU220420.1	160337103
Mycobacterium bolletii isolate 5971 heat	401	EU220419.1	160337101
Mycobacterium bolletii isolate 5898 heat	401	EU220418.1	160337099
Mycobacterium bolletii strain CCUG 50184	415	DQ987724.1	116272412
Mycobacterium pseudoshottsii strain NCTC 13318	415	DQ987722.1	116272408
Mycobacterium ulcerans hsp65 gene for	401	AB548732.1	306407973
Mycobacterium ulcerans hsp65 gene for	401	AB548723.1	306407959
Mycobacterium marinum hsp65 gene for	401	AB548715.1	306407947
Mycobacterium shinjukuense hsp65 gene for	401	AB268505.2	306482208
Mycobacterium chelonae hsp65 gene for	401	AB548609.1	315433473
Mycobacterium abscessus hsp65 gene for	401	AB548598.1	315433456
Mycobacterium genavense Hsp65 gene for	401	AB292585.1	154090768
Mycobacterium sp. LTL 671 65	445	KY853654.1	1343103362
Mycobacterium sp. LTG 466 65	445	KY853653.1	1343103360
Mycobacterium massiliense isolate RJ-F1054 heat	441	EU031910.1	154520244
Mycobacterium massiliense strain PI-F1015 heat	441	EU031903.1	154520230
Mycobacterium massiliense strain GO-F1345 heat	441	EU031902.1	154520228
Mycobacterium massiliense strain GO-F1334 heat	441	EU031901.1	154520226
Mycobacterium massiliense isolate CE-F1269 heat	441	EU031900.1	154520224
Mycobacterium mantenii strain NLA000800224 65	424	FJ426336.1	213959359
Mycobacterium lepromatosis strain FJ924 heat	1615	EU203593.2	190149253
Mycobacterium sp. BF4b heat shock	550	EU478698.1	186892399
Mycobacterium sp. BF4c heat shock	599	EU478697.1	186892397
Mycobacterium pyrenivorans strain DSM 44605	401	JF510463.1	329130160
Mycobacterium brisbanense strain DSM 44680	401	JF491333.1	327493990
Mycobacterium bovis strain ATCC 19210	401	JF491332.1	327493988
Mycobacterium saskatchewanense strain DSM 44616	401	JF491331.1	327493986
Mycobacterium llatzerense strain DSM 45343	401	JF491330.1	327493984
Mycobacterium senuense strain DSM 44999	401	JF491328.1	327493980
Mycobacterium senegalense strain ATCC 35796	401	JF491327.1	327493978
Mycobacterium porcinum strain ATCC 33776	401	JF491326.1	327493976
Mycobacterium arupense strain DSM 44942	401	JF491325.1	327493974
Mycobacterium paraseoulense strain DSM 45000	401	JF491324.1	327493972
Mycobacterium kumamotonense strain DSM 45093	401	JF491323.1	327493970
Mycobacterium seoulense strain DSM 44998	401	JF491322.1	327493968
Mycobacterium insubricum strain DSM 45132	401	JF491319.1	327493962
Mycobacterium fluoranthenivorans strain DSM 44556	401	JF491318.1	327493960
Mycobacterium florentinum strain DSM 44852	401	JF491317.1	327493958
Mycobacterium canariasense strain DSM 44828	401	JF491316.1	327493956
Mycobacterium gastri strain ATCC 15754	401	JF491315.1	327493954
Mycobacterium fortuitum subsp. acetamidolyticum strain	401	JF491314.1	327493952
Mycobacterium africanum strain ATCC 25420	401	JF491313.1	327493950
Mycobacterium vaccae strain ATCC 15483	401	JF491312.1	327493948
Mycobacterium tuberculosis strain ATCC 27294	401	JF491311.1	327493946
Mycobacterium triviale strain ATCC 23292	401	JF491310.1	327493944
Mycobacterium tokaiense strain ATCC 27282	401	JF491309.1	327493942
Mycobacterium szulgai strain ATCC 35799	401	JF491308.1	327493940
Mycobacterium smegmatis strain ATCC 19420	401	JF491307.1	327493938
Mycobacterium simiae strain ATCC 25275	401	JF491306.1	327493936
Mycobacterium shimoidei strain ATCC 27962	401	JF491305.1	327493934
Mycobacterium scrofulaceum strain ATCC 19981	401	JF491304.1	327493932
Mycobacterium nonchromogenicum strain ATCC 19530	401	JF491303.1	327493930
Mycobacterium malmoense strain ATCC 29571	401	JF491301.1	327493926
Mycobacterium interjectum strain ATCC 51457	401	JF491298.1	327493920
Mycobacterium hiberniae strain ATCC 49874	401	JF491297.1	327493918
Mycobacterium fallax strain ATCC 35219	401	JF491294.1	327493912
Mycobacterium chelonae strain ATCC 35752	401	JF491293.1	327493910
Mycobacterium celatum strain ATCC 51131	401	JF491292.1	327493908
Mycobacterium noviomagense strain NLA000500338 65	424	EU600390.1	183397137
Mycobacterium sp. 2000-301020 65 kDa	441	EU054314.1	156066975
Mycobacterium arupense strain AR30097 Hsp65	427	DQ168662.1	75993573
Mycobacterium parascrofulaceum strain CIP 108112	426	AY943201.1	61200482
Mycobacterium neworleansense strain CIP 107827	426	AY943199.1	61200478
Mycobacterium chimaera strain CIP 107892	426	AY943198.1	61200476
Mycobacterium canariasense strain CIP 107998	409	AY943197.1	61200474
Mycobacterium boenickei strain CIP 107829	426	AY943195.1	61200470
Mycobacterium fuerthensis strain DSM 44567	401	AY550238.1	45593789
Mycobacterium shottsii strain ATCC 700981	401	AY550225.1	45593765
Mycobacterium cosmeticum strain 2003-11-06 hsp65	441	AY449731.1	40019091
Mycobacterium lacus 65 kDa heat	424	AY438090.1	38324670
Mycobacterium hiberniae 65 kDa heat	424	AY438083.1	38324656
Mycobacterium aurum 65 kDa heat	424	AY438081.1	38324652
Mycobacterium agri 65 kDa heat	424	AY438080.1	38324650
Mycobacterium komossense 65 kDa heat	424	AY438649.1	38231678
Mycobacterium saskatchewanense strain MB54784 heat	441	AY208859.1	37784499
Mycobacterium kansasii heat shock protein	603	AY299191.1	34333420
Mycobacterium kansasii heat shock protein	603	AY299190.1	34333418
Mycobacterium kansasii strain ATCC 12478	603	AY299189.1	34333416
Mycobacterium intracellulare strain ATCC 13950	603	AY299188.1	34333414
Mycobacterium haemophilum strain ATCC 29548	603	AY299185.1	34333408
Mycobacterium intracellulare strain ATCC13950 65	441	AF126035.1	4761530
Mycobacterium avium subsp. avium 65	441	AF126030.1	4761520
Mycobacterium massiliense strain B31 heat	401	FJ667550.1	225030854
Mycobacterium massiliense strain CRM019-RJ 65	441	FJ516384.1	219816061
Mycobacterium heckeshornense strain DSM 44428	424	AF547843.2	49425438
Mycobacterium xenopi strain CIP 104035	424	AF547891.1	27502346
Mycobacterium vaccae strain CIP 105934	424	AF547889.1	27502342
Mycobacterium ulcerans strain CIP 105425	424	AF547888.1	27502340
Mycobacterium tusciae strain CIP 106367	424	AF547887.1	27502338
Mycobacterium tuberculosis subsp. tuberculosis strain	424	AF547886.1	27502336
Mycobacterium tuberculosis subsp. tuberculosis strain	424	AF547885.1	27502334
Mycobacterium triplex strain CIP 106108	424	AF547882.1	27502328
Mycobacterium tokaiense strain CIP 106807	424	AF547881.1	27502326
Mycobacterium thermoresistibile strain CIP 105390	424	AF547880.1	27502324
Mycobacterium terrae strain CIP 104321	424	AF547879.1	27502322
Mycobacterium szulgai strain CIP 104532	424	AF547878.1	27502320
Mycobacterium smegmatis strain CIP 104444	424	AF547876.1	27502316
Mycobacterium simiae strain CIP 104531	424	AF547875.1	27502314
Mycobacterium senegalense strain CIP 104941	424	AF547872.1	27502308
Mycobacterium scrofulaceum strain CIP 105416	424	AF547871.1	27502306
Mycobacterium rhodesiae strain CIP 106806	424	AF547870.1	27502304
Mycobacterium pulveris strain CIP 106804	424	AF547869.1	27502302
Mycobacterium poriferae strain CIP 105394	424	AF547868.1	27502300
Mycobacterium phlei strain CIP 105389	424	AF547866.1	27502296
Mycobacterium peregrinum strain CIP 105382	424	AF547865.1	27502294
Mycobacterium parafortuitum strain CIP 106802	424	AF547864.1	27502292
Mycobacterium obuense strain CIP 106803	424	AF547863.1	27502290
Mycobacterium novocastrense strain CIP 105546	424	AF547862.1	27502288
Mycobacterium murale strain CIP 105980	424	AF547859.1	27502282
Mycobacterium mucogenicum strain CIP 105223	424	AF547858.1	27502280
Mycobacterium moriokaense strain CIP 105393	424	AF547857.1	27502278
Mycobacterium microti strain CIP 104256	424	AF547856.1	27502276
Mycobacterium marinum strain CIP 104528	424	AF547855.1	27502274
Mycobacterium malmoense strain CIP 105775	424	AF547854.1	27502272
Mycobacterium madagascariense strain CIP 104538	424	AF547852.1	27502268
Mycobacterium lentiflavum strain CIP 105465	424	AF547851.1	27502266
Mycobacterium kubicae strain CIP 106428	424	AF547850.1	27502264
Mycobacterium kansasii strain CIP 104589	424	AF547849.1	27502262
Mycobacterium intracellulare strain CIP 104243	424	AF547848.1	27502260
Mycobacterium intermedium strain CIP 104542	424	AF547847.1	27502258
Mycobacterium hodleri strain CIP 104909	424	AF547845.1	27502254
Mycobacterium heidelbergense strain CIP 105424	424	AF547844.1	27502252
Mycobacterium hassiacum strain CIP 105218	424	AF547842.1	27502248
Mycobacterium gordonae strain CIP 104529	424	AF547840.1	27502244
Mycobacterium goodii strain CIP 106349	424	AF547839.1	27502242
Mycobacterium gastri strain CIP 104530	424	AF547836.1	27502236
Mycobacterium gadium strain CIP 105388	424	AF547835.1	27502234
Mycobacterium fortuitum subsp. acetamidolyticum strain	424	AF547832.1	27502228
Mycobacterium flavescens strain CIP 104533	424	AF547831.1	27502226
Mycobacterium fallax strain CIP 81.39	424	AF547829.1	27502222
Mycobacterium elephantis strain CIP 106831	424	AF547828.1	27502220
Mycobacterium duvalii strain CIP 104539	424	AF547827.1	27502218
Mycobacterium diernhoferi strain CIP 105384	424	AF547825.1	27502214
Mycobacterium cookii strain CIP 105396	424	AF547824.1	27502212
Mycobacterium conspicuum strain CIP 105165	424	AF547823.1	27502210
Mycobacterium confluentis strain CIP 105510	424	AF547822.1	27502208
Mycobacterium chubuense strain CIP 106810	424	AF547821.1	27502206
Mycobacterium chlorophenolicum strain CIP 104189	424	AF547820.1	27502204
Mycobacterium chitae strain CIP 105383	424	AF547819.1	27502202
Mycobacterium chelonae strain CIP 104535	424	AF547818.1	27502200
Mycobacterium celatum strain CIP 106109	424	AF547817.1	27502198
Mycobacterium brumae strain CIP 103465	424	AF547816.1	27502196
Mycobacterium branderi strain CIP 104592	424	AF547815.1	27502194
Mycobacterium bovis strain CIP 105234	424	AF547813.1	27502190
Mycobacterium bohemicum strain CIP 105811	424	AF547811.1	27502186
Mycobacterium avium subsp. paratuberculosis strain	424	AF547809.1	27502182
Mycobacterium avium subsp. avium strain	424	AF547808.1	27502180
Mycobacterium austroafricanum strain CIP 105395	424	AF547807.1	27502178
Mycobacterium asiaticum strain DSM 44297	424	AF547806.1	27502176
Mycobacterium alvei strain CIP 103464	424	AF547805.1	27502174
Mycobacterium africanum strain CIP 105147	424	AF547803.1	27502170
Mycobacterium abscessus strain CIP 104536	424	AF547802.1	27502168
Mycobacterium massiliense strain RJ-F1304 heat	441	EU009473.1	152926459
Mycobacterium massiliense strain RJ-F1463 heat	441	EU009472.1	152926457
Mycobacterium massiliense strain RJ-F1462 heat	441	EU009471.1	152926455
Mycobacterium massiliense strain RJ-F1456 heat	441	EU009470.1	152926453
Mycobacterium massiliense strain Icheon heat	603	EF486340.1	151428181
Mycobacterium massiliense strain CIP 108297	603	EF486339.1	151428179
Mycobacterium abscessus strain ATCC 19977	603	EF486338.1	151428177
Mycobacterium insubricum strain FI-06250 Hsp65	414	EF584487.1	148283501
Mycobacterium anyangense strain QIA-38 heat	603	KF910182.1	576647293
Mycobacterium flavescens strain ATCC 14474	401	GU362519.1	307148011
Mycobacterium asiaticum strain ATCC 25276	401	GU362517.1	307148007
Mycobacterium sp. 073 65 kDa	695	KT454997.1	986958371
Mycobacterium sp. 105 65 kDa	695	KT454996.1	986958369
Mycobacterium sp. 085 65 kDa	695	KT454995.1	986958367
Mycobacterium sp. 006 65 kDa	695	KT454994.1	986958365
Mycobacterium abscessus subsp. bolletii strain	430	KT185514.1	938485605
Mycobacterium celeriflavum strain FI-10161 65kD	401	KJ586614.1	612176469
Mycobacterium celeriflavum strain FI-09258 65kD	401	KJ586613.1	612176467
Mycobacterium iranicum strain GN10803 heat	401	HM775984.1	314991150
Mycobacterium llatzerense strain 13-009-09768 Hsp65	418	KC737844.1	513131153
Mycobacterium franklinii strain D16R27 heat	401	KM392060.1	725542690
Mycobacterium franklinii strain DSM 45524	401	KM392059.1	725542688
Mycobacterium sp. WCM 7299 65	424	KJ873243.1	702074172
Mycobacterium sp. GPK 1020 65	424	KJ873242.1	702074170
Mycobacterium iranicum strain CCUG 52297	401	JQ898290.1	392312060
Mycobacterium iranicum strain OPBG12013762 65	401	JQ898289.1	392312058
Mycobacterium sp. AW6 65 kDa	583	JX566891.1	410993600
Mycobacterium massiliense strain 54887 heat	603	JQ082103.1	381149412
Mycobacterium massiliense strain 54802 heat	603	JQ082102.1	381149410
Mycobacterium massiliense strain 54790 heat	603	JQ082101.1	381149408
Mycobacterium massiliense strain 54537 heat	603	JQ082100.1	381149406
Mycobacterium massiliense strain 54443 heat	603	JQ082099.1	381149404
Mycobacterium massiliense strain 54436 heat	603	JQ082098.1	381149402
Mycobacterium massiliense strain 54430 heat	603	JQ082097.1	381149400
Mycobacterium massiliense strain 54342 heat	603	JQ082096.1	381149398
Mycobacterium massiliense strain 54341 heat	603	JQ082095.1	381149396
Mycobacterium massiliense strain 54335 heat	603	JQ082094.1	381149394
Mycobacterium massiliense strain 54158 heat	603	JQ082093.1	381149392
Mycobacterium massiliense strain 54156 heat	603	JQ082092.1	381149390
Mycobacterium massiliense strain 54085 heat	603	JQ082091.1	381149388
Mycobacterium massiliense strain 54004 heat	603	JQ082090.1	381149386
Mycobacterium massiliense strain 53911 heat	603	JQ082089.1	381149384
Mycobacterium massiliense strain 53618 heat	603	JQ082088.1	381149382
Mycobacterium massiliense strain 53521 heat	603	JQ082087.1	381149380
Mycobacterium massiliense strain 53424 heat	603	JQ082086.1	381149378
Mycobacterium massiliense strain 53412 heat	603	JQ082085.1	381149376
Mycobacterium massiliense strain 53410 heat	603	JQ082084.1	381149374
Mycobacterium massiliense strain 53996 heat	603	JQ082083.1	381149372
Mycobacterium massiliense strain 53334 heat	603	JQ082082.1	381149370
Mycobacterium massiliense strain 53317 heat	603	JQ082081.1	381149368
Mycobacterium massiliense strain 53112 heat	603	JQ082080.1	381149366
Mycobacterium massiliense strain 52966 heat	603	JQ082079.1	381149364
Mycobacterium massiliense strain 52748 heat	603	JQ082078.1	381149362
Mycobacterium massiliense strain 52693 heat	603	JQ082077.1	381149360
Mycobacterium massiliense strain 52444 heat	603	JQ082076.1	381149358
Mycobacterium massiliense strain 52352 heat	603	JQ082075.1	381149356
Mycobacterium massiliense strain 52265 heat	603	JQ082074.1	381149354
Mycobacterium massiliense strain 52188 heat	603	JQ082073.1	381149352
Mycobacterium massiliense strain 52008 heat	603	JQ082072.1	381149350
Mycobacterium massiliense strain 51843 heat	603	JQ082071.1	381149348
Mycobacterium massiliense strain 51302 heat	603	JQ082070.1	381149346
Mycobacterium massiliense strain 51048 heat	603	JQ082069.1	381149344
Mycobacterium massiliense strain 50594 heat	603	JQ082068.1	381149342
Mycobacterium massiliense strain 50375 heat	603	JQ082067.1	381149340
