Name	Length	Accession	GI
Mycobacterium chlorophenolicum strain ATCC 25793	638	FJ172342.1	207692936
Mycobacterium petroleophilum strain ATCC 21498	647	FJ172340.1	207691932
Mycobacterium fluoranthenivorans strain ATCC 23070	638	FJ172339.1	207691930
Mycobacterium neoaurum strain ATCC 27277	638	FJ172337.1	207691926
Mycobacterium neoaurum strain ATCC 23071	638	FJ172333.1	207690918
Mycobacterium neoaurum strain ATCC 25803	638	FJ172332.1	207690916
Mycobacterium neoaurum strain ATCC 25800	638	FJ172331.1	207690914
Mycobacterium neoaurum strain ATCC 25799	638	FJ172330.1	207690912
Mycobacterium neoaurum strain ATCC 25798	638	FJ172328.1	207690908
Mycobacterium parascrofulaceum strain ATCC BAA-614	710	JQ411510.1	380875716
Mycobacterium stomatepiae strain DSM 45059	711	HM022213.1	295815626
Mycobacterium saskatchewanense strain DSM 44616	711	HM022212.1	295815624
Mycobacterium parmense strain CIP 107385	720	HM022211.1	295815622
Mycobacterium palustre strain DSM 44572	720	HM022210.1	295815620
Mycobacterium montefiorense strain DSM 44602	711	HM022209.1	295815618
Mycobacterium intermedium strain DSM 44049	720	HM022208.1	295815616
Mycobacterium interjectum strain DSM 44064	720	HM022207.1	295815614
Mycobacterium kubicae strain CIP 106428	717	HM022206.1	295815612
Mycobacterium florentinum strain DSM 44852	711	HM022205.1	295815610
Mycobacterium yongonense 05-1390 RNA polymerase	711	JF738053.1	379773165
Mycobacterium europaeum strain FI-09129 RNA	669	HM022218.1	295815636
Mycobacterium europaeum strain FI-06004 RNA	647	HM022217.1	295815634
Mycobacterium terrae strain FI-09370 RNA	719	JN571266.1	355344055
Mycobacterium terrae strain FI-07146 RNA	719	JN571265.1	355344053
Mycobacterium terrae strain FI-09364 RNA	719	JN571264.1	355344051
Mycobacterium terrae strain FI-06193 RNA	719	JN571263.1	355344049
Mycobacterium terrae strain FI-07045 RNA	719	JN571262.1	355344047
Mycobacterium kumamotonense strain FI-07065 RNA	719	JN571260.1	355344043
Mycobacterium kumamotonense strain FI-08089 RNA	725	JN571259.1	355344041
Mycobacterium kumamotonense strain FI-10008 RNA	719	JN571258.1	355344039
Mycobacterium kumamotonense strain FI-09112 RNA	719	JN571257.1	355344037
Mycobacterium kumamotonense strain FI-08093 RNA	719	JN571256.1	355344035
Mycobacterium kumamotonense strain FI-09113 RNA	719	JN571255.1	355344033
Mycobacterium kumamotonense strain FI-09059 RNA	725	JN571254.1	355344031
Mycobacterium kumamotonense strain FI-06113 RNA	725	JN571253.1	355344029
Mycobacterium kumamotonense strain FI-06110 RNA	725	JN571252.1	355344027
Mycobacterium senuense strain FI-05273 RNA	719	JN571250.1	355344023
Mycobacterium senuense strain DSM44999 RNA	719	JN571249.1	355344021
Mycobacterium hiberniae strain ATCC 49874	719	JN571246.1	355344015
Mycobacterium engbaekii strain FI-98001 RNA	719	JN571245.1	355344013
Mycobacterium engbaekii strain FI-98002 RNA	719	JN571243.1	355344009
Mycobacterium engbaekii strain FI-98058 RNA	719	JN571242.1	355344007
Mycobacterium nonchromogenicum strain FI-10225 RNA	719	JN571241.1	355344005
Mycobacterium nonchromogenicum strain FI-07063 RNA	719	JN571240.1	355344003
Mycobacterium nonchromogenicum strain FI-06087 RNA	719	JN571239.1	355344001
Mycobacterium nonchromogenicum strain FI-06382 RNA	719	JN571238.1	355343999
Mycobacterium nonchromogenicum strain FI-05140 RNA	719	JN571237.1	355343997
Mycobacterium arupense strain FI-08105 RNA	710	JN571229.1	355343981
Mycobacterium arupense strain FI-08030 RNA	710	JN571228.1	355343979
Mycobacterium arupense strain FI-08142 RNA	710	JN571227.1	355343977
Mycobacterium arupense strain FI-06297 RNA	719	JN571226.1	355343975
Mycobacterium arupense strain FI-01273 RNA	719	JN571225.1	355343973
Mycobacterium arupense strain FI-09030 RNA	719	JN571224.1	355343971
Mycobacterium arupense strain FI-09099 RNA	719	JN571223.1	355343969
Mycobacterium arupense strain FI-09101 RNA	719	JN571222.1	355343967
Mycobacterium arupense strain FI-01269 RNA	719	JN571221.1	355343965
Mycobacterium arupense strain FI-01279 RNA	719	JN571220.1	355343963
Mycobacterium arupense strain FI-06185 RNA	719	JN571219.1	355343961
Mycobacterium arupense strain FI-07009 RNA	719	JN571218.1	355343959
Mycobacterium arupense strain FI-06219 RNA	719	JN571217.1	355343957
Mycobacterium arupense strain FI-05354 RNA	719	JN571216.1	355343955
Mycobacterium arupense strain FI-06239 RNA	719	JN571215.1	355343953
Mycobacterium bolletii isolate 5898 RNA	701	EU220422.2	221763243
Mycobacterium bolletii isolate 5581 RNA	684	EU220424.1	160337111
Mycobacterium bolletii isolate 5971 RNA	683	EU220423.1	160337109
Mycobacterium haemophilum strain ATCC 29548	3610	GQ245966.1	253740488
Mycobacterium sp. LTL 671 DNA-directed	672	KY853655.1	1343103364
Mycobacterium sp. CECT 8779 DNA-directed	3378	MF774025.1	1243021698
Mycobacterium sp. CECT 8778 DNA-directed	3486	MF774024.1	1243021696
Mycobacterium massiliense strain AP002 RNA	698	EU090066.1	156255570
Mycobacterium massiliense strain AP008 RNA	712	EU090065.1	156255568
Mycobacterium massiliense strain AP025 RNA	696	EU090064.1	156255566
Mycobacterium massiliense strain AP038 RNA	699	EU090063.1	156255564
Mycobacterium massiliense isolate RJ-F1054 RNA	688	EU031909.1	154520242
Mycobacterium massiliense isolate RJ-F1304 RNA	688	EU031908.1	154520240
Mycobacterium massiliense strain PI-F1015 RNA	688	EU031907.1	154520238
Mycobacterium massiliense strain PI-F1010 RNA	688	EU031906.1	154520236
Mycobacterium massiliense strain GO-F1345 RNA	688	EU031905.1	154520234
Mycobacterium massiliense strain GO-F1334 RNA	688	EU031904.1	154520232
Mycobacterium massiliense isolate G02 RNA	614	FJ194539.1	208343772
Mycobacterium massiliense isolate G01 RNA	653	FJ194538.1	208343770
Mycobacterium brumae strain CIP 103465	704	EU999024.1	197944874
Mycobacterium fallax strain DSM 44179	704	EU999023.1	197944872
Mycobacterium avium subsp. silvaticum strain	727	JN935808.1	371534662
Mycobacterium sp. MMQ-5 RpoB gene,	731	EU018141.1	158957529
Mycobacterium insubricum strain FI-06250 RNA	720	EU022519.1	154184296
Mycobacterium tuberculosis H37Rv RNA-polymerase beta	3853	U12205.1	515684
Mycobacterium massiliense strain B31 RNA	661	FJ667552.1	225030858
Mycobacterium massiliense clone F1832-BE RNA	688	FJ531482.1	219958089
Mycobacterium massiliense strain CRM019-RJ RNA	688	FJ516385.1	219816063
Mycobacterium avium strain ATCC25291 RNA	705	AF060366.1	3133490
Mycobacterium fortuitum strain ATCC6841 RNA	705	AF060363.1	3133484
Mycobacterium intracellulare strain ATCC13950 RNA	705	AF060359.1	3133476
Mycobacterium kansasii strain ATCC12478 RNA	705	AF060357.1	3133472
Mycobacterium smegmatis RNA polymerase beta-subunit	705	AF060354.1	3133466
Mycobacterium fortuitum isolate 92-144 RNA	705	AF060292.1	3133342
Mycobacterium massiliense strain RJ-F1463 RNA	688	EU009469.1	152926451
Mycobacterium massiliense strain RJ-F1462 RNA	688	EU009468.1	152926449
Mycobacterium massiliense strain RJ-F1456 RNA	688	EU009467.1	152926447
Mycobacterium alsense strain TB 1906	719	KT168292.1	927278149
Mycobacterium anyangense strain QIA-38 RNA	711	KF910164.1	576647256
Mycobacterium fragae strain HF8705 RNA	720	JQ902013.1	421952529
Mycobacterium smegmatis strain ATCC 19420	506	GU362494.1	307147938
Mycobacterium malmoense strain ATCC 29571	502	GU362487.1	307147917
Mycobacterium fallax strain ATCC 35219	504	GU362478.1	307147890
Mycobacterium asiaticum strain ATCC 25276	510	GU362473.1	307147875
Mycobacterium sp. 073 RNA polymerase	895	KT455001.1	986958379
Mycobacterium sp. 105 RNA polymerase	834	KT455000.1	986958377
Mycobacterium sp. 085 RNA polymerase	871	KT454999.1	986958375
Mycobacterium sp. 006 RNA polymerase	895	KT454998.1	986958373
Mycobacterium abscessus subsp. bolletii strain	720	KT185536.1	938485649
Mycobacterium abscessus strain YMC11_52 RNA	503	JX041956.1	398359357
Mycobacterium abscessus strain YMC11_04 RNA	503	JX041955.1	398359355
Mycobacterium abscessus strain YMC11_27 RNA	503	JX041954.1	398359353
Mycobacterium abscessus strain YMC11_01 RNA	503	JX041953.1	398359351
Mycobacterium celeriflavum strain AFPC-000207 RNA	710	KJ607137.1	651231932
Mycobacterium celeriflavum strain FI-09258 RNA	711	HM807427.1	315435609
Mycobacterium salmoniphilum strain ATCC 13758	711	KM392058.1	725542686
Mycobacterium franklinii strain D16R27 RNA	726	KM392057.1	725542684
Mycobacterium franklinii strain DSM 45524	726	KM392056.1	725542682
Mycobacterium sp. WCM 7299 RNA	713	KJ873245.1	702074168
Mycobacterium sp. GPK 1020 RNA	710	KJ873244.1	702074166
Mycobacterium kyorinense strain DSM 45166	711	JN866833.1	374278691
Mycobacterium intracellulare ATCC 13950 RNA	3447	JQ411539.1	381149699
Mycobacterium parascrofulaceum strain ATCC BAA-614	3450	JQ411538.1	381149697
Mycobacterium iranicum strain CCUG 52297	663	JQ886108.1	392312056
Mycobacterium iranicum strain FI-05198 RNA	663	JQ886107.1	392312054
Mycobacterium abscessus subsp. bolletii isolate	618	KC352795.1	451317005
Mycobacterium sp. AW6 RNA polymerase	674	JX566892.1	442569743
Mycobacterium massiliense strain 54887 RNA	711	JQ082038.1	385246970
Mycobacterium massiliense strain 54802 RNA	711	JQ082037.1	385246968
Mycobacterium massiliense strain 54790 RNA	711	JQ082036.1	385246966
Mycobacterium massiliense strain 54537 RNA	711	JQ082035.1	385246964
Mycobacterium massiliense strain 54443 RNA	711	JQ082034.1	385246962
Mycobacterium massiliense strain 54436 RNA	711	JQ082033.1	385246960
Mycobacterium massiliense strain 54430 RNA	711	JQ082032.1	385246958
Mycobacterium massiliense strain 54342 RNA	711	JQ082031.1	385246956
Mycobacterium massiliense strain 54341 RNA	711	JQ082030.1	385246954
Mycobacterium massiliense strain 54335 RNA	711	JQ082029.1	385246952
Mycobacterium massiliense strain 54158 RNA	711	JQ082028.1	385246950
Mycobacterium massiliense strain 54156 RNA	711	JQ082027.1	385246948
Mycobacterium massiliense strain 54085 RNA	711	JQ082026.1	385246946
Mycobacterium massiliense strain 54004 RNA	711	JQ082025.1	385246944
Mycobacterium massiliense strain 53911 RNA	711	JQ082024.1	385246942
Mycobacterium massiliense strain 53618 RNA	711	JQ082023.1	385246940
Mycobacterium massiliense strain 53512 RNA	711	JQ082022.1	385246938
Mycobacterium massiliense strain 53424 RNA	711	JQ082021.1	385246936
Mycobacterium massiliense strain 53412 RNA	711	JQ082020.1	385246934
Mycobacterium massiliense strain 53410 RNA	711	JQ082019.1	385246932
Mycobacterium massiliense strain 53996 RNA	711	JQ082018.1	385246930
Mycobacterium massiliense strain 53334 RNA	711	JQ082017.1	385246928
Mycobacterium massiliense strain 53317 RNA	711	JQ082016.1	385246926
Mycobacterium massiliense strain 53112 RNA	711	JQ082015.1	385246924
Mycobacterium massiliense strain 52966 RNA	711	JQ082014.1	385246922
Mycobacterium massiliense strain 52748 RNA	711	JQ082013.1	385246920
Mycobacterium massiliense strain 52693 RNA	711	JQ082012.1	385246918
Mycobacterium massiliense strain 52444 RNA	711	JQ082011.1	385246916
Mycobacterium massiliense strain 52352 RNA	711	JQ082010.1	385246914
Mycobacterium massiliense strain 52265 RNA	711	JQ082009.1	385246912
Mycobacterium massiliense strain 52188 RNA	711	JQ082008.1	385246910
Mycobacterium massiliense strain 52008 RNA	711	JQ082007.1	385246908
Mycobacterium massiliense strain 51843 RNA	711	JQ082006.1	385246906
Mycobacterium massiliense strain 51302 RNA	711	JQ082005.1	385246904
Mycobacterium massiliense strain 51048 RNA	711	JQ082004.1	385246902
Mycobacterium massiliense strain 50594 RNA	711	JQ082003.1	385246900
Mycobacterium massiliense strain 50375 RNA	711	JQ082002.1	385246898
Mycobacterium massiliense strain Asan 41	711	JQ082001.1	385246896
Mycobacterium massiliense strain Asan 40	711	JQ082000.1	385246894
Mycobacterium massiliense strain Asan 39	711	JQ081999.1	385246892
Mycobacterium massiliense strain Asan 38	711	JQ081998.1	385246890
Mycobacterium massiliense strain Asan 35	711	JQ081997.1	385246888
Mycobacterium massiliense strain Asan 34	711	JQ081996.1	385246886
Mycobacterium massiliense strain Asan 32	711	JQ081995.1	385246884
Mycobacterium massiliense strain Asan 31	711	JQ081994.1	385246882
Mycobacterium massiliense strain Asan 30	711	JQ081993.1	385246880
Mycobacterium massiliense strain Asan 29	711	JQ081992.1	385246878
Mycobacterium massiliense strain Asan 27	711	JQ081991.1	385246876
Mycobacterium massiliense strain Asan 23	711	JQ081990.1	385246874
Mycobacterium massiliense strain Asan 22	711	JQ081989.1	385246872
Mycobacterium massiliense strain Asan 20	711	JQ081988.1	385246870
Mycobacterium massiliense strain Asan 19	711	JQ081987.1	385246868
Mycobacterium massiliense strain Asan 18	711	JQ081986.1	385246866
Mycobacterium massiliense strain Asan 17	711	JQ081985.1	385246864
Mycobacterium massiliense strain Asan 16	711	JQ081984.1	385246862
Mycobacterium massiliense strain Asan 15	711	JQ081983.1	385246860
Mycobacterium massiliense strain Asan 14	711	JQ081982.1	385246858
Mycobacterium massiliense strain Asan 13	711	JQ081981.1	385246856
Mycobacterium massiliense strain Asan 8	711	JQ081980.1	385246854
Mycobacterium massiliense strain Asan 7	711	JQ081979.1	385246852
Mycobacterium massiliense strain Asan 6	711	JQ081978.1	385246850
Mycobacterium massiliense strain Asan 5	711	JQ081977.1	385246848
Mycobacterium massiliense strain Asan 4	711	JQ081976.1	385246846
Mycobacterium massiliense strain Asan 2	711	JQ081975.1	385246844
UNVERIFIED: Mycobacterium massiliense strain Asan	711	JQ081974.1	385246843
Mycobacterium europaeum partial rpoB gene	702	FR695852.1	393990216
Mycobacterium europaeum partial rpoB gene	702	FR695851.1	393186805
Mycobacterium branderi strain ATCC 51789	3507	JQ599259.2	388564867
Mycobacterium celatum strain ATCC 51131	3507	JQ599258.2	388564865
Mycobacterium setense strain CIP109395 RpoB	693	EU371506.1	189187655
Mycobacterium bolletii strain IAL037 RNA	686	HQ404296.1	313759692
Mycobacterium massiliense strain IAL036 RNA	686	HQ404295.1	313759690
Mycobacterium massiliense strain IAL035 RNA	686	HQ404294.1	313759688
Mycobacterium massiliense strain IAL034 RNA	686	HQ404293.1	313759686
Mycobacterium massiliense strain CRM552 RNA	686	HQ404292.1	313759684
Mycobacterium massiliense strain CRM622 RNA	686	HQ404291.1	313759682
Mycobacterium massiliense strain CRM642 RNA	686	HQ404290.1	313759680
Mycobacterium massiliense strain CRM573 RNA	686	HQ404289.1	313759678
Mycobacterium bolletii strain CRM512 RNA	686	HQ404288.1	313759676
Mycobacterium massiliense strain CRM473 RNA	686	HQ404287.1	313759674
Mycobacterium bolletii strain CRM409 RNA	686	HQ404286.1	313759672
Mycobacterium massiliense strain CRM375 RNA	686	HQ404285.1	313759670
Mycobacterium bolletii strain IAL029 RNA	686	HQ404284.1	313759668
Mycobacterium massiliense strain IAL028 RNA	686	HQ404283.1	313759666
Mycobacterium massiliense strain IAL024 RNA	686	HQ404282.1	313759664
Mycobacterium massiliense strain IAL021 RNA	686	HQ404281.1	313759662
Mycobacterium massiliense strain IAL020 RNA	686	HQ404280.1	313759660
Mycobacterium massiliense strain IAL019 RNA	686	HQ404279.1	313759658
Mycobacterium bolletii strain IAL018 RNA	686	HQ404278.1	313759656
Mycobacterium bolletii strain IAL017 RNA	686	HQ404277.1	313759654
Mycobacterium bolletii strain IAL016 RNA	686	HQ404276.1	313759652
Mycobacterium bolletii strain IAL015 RNA	686	HQ404275.1	313759650
Mycobacterium massiliense strain IAL014 RNA	686	HQ404274.1	313759648
Mycobacterium bolletii strain IAL013 RNA	686	HQ404273.1	313759646
Mycobacterium bolletii strain IAL012 RNA	686	HQ404272.1	313759644
Mycobacterium bolletii strain IAL011 RNA	686	HQ404271.1	313759642
Mycobacterium massiliense strain IAL010 RNA	686	HQ404270.1	313759640
Mycobacterium bolletii strain IAL009 RNA	686	HQ404269.1	313759638
Mycobacterium bolletii strain IAL008 RNA	686	HQ404268.1	313759636
Mycobacterium massiliense strain IAL007 RNA	686	HQ404267.1	313759634
Mycobacterium bolletii strain IAL006 RNA	686	HQ404266.1	313759632
Mycobacterium bolletii strain IAL005 RNA	686	HQ404265.1	313759630
Mycobacterium bolletii strain IAL004 RNA	686	HQ404264.1	313759628
Mycobacterium bolletii strain IAL003 RNA	686	HQ404263.1	313759626
Mycobacterium massiliense strain IAL002 RNA	686	HQ404262.1	313759624
Mycobacterium bolletii strain IAL001 RNA	686	HQ404261.1	313759622
Mycobacterium bolletii strain B61 RNA	661	FJ667553.1	225030860
Mycobacterium neoaurum strain ATCC 25795	741	JF712875.1	346427154
Mycobacterium mageritense strain ATCC 700351	747	JF706630.1	346230977
Mycobacterium sp. 10-5560 RNA polymerase	710	JF437552.1	344995113
Mycobacterium sp. 10-0824 RNA polymerase	710	JF437551.1	344995111
Mycobacterium sp. 10-7710 RNA polymerase	710	JF437550.1	344995109
Mycobacterium sp. 10-5561 RNA polymerase	710	JF437549.1	344995107
Mycobacterium sp. 09-8107 RNA polymerase	710	JF437548.1	344995105
Mycobacterium sp. 10-1301 RNA polymerase	710	JF437547.1	344995103
Mycobacterium sp. 09-7368 RNA polymerase	710	JF437546.1	344995101
Mycobacterium sp. 09-4995 RNA polymerase	710	JF437545.1	344995099
Mycobacterium sp. 09-4418 RNA polymerase	710	JF437544.1	344995097
